movie_id,title,release_date,popularity,vote_average,primary_genre
1204680,Coyote vs ACME,2026-08-21,3.9251,0.0,Comedy
1165366,De Gaulle: Résistance,2026-06-03,9.2705,7.826,History
1170608,Dune: Part Three,2026-12-16,8.8164,0.0,Action
1309400,The Children of the Resistance,2026-02-11,5.6327,6.5,Adventure
1309400,The Children of the Resistance,2026-02-11,5.6327,6.5,Adventure
1265609,War Machine,2026-02-12,34.4318,7.406,Action
1239134,Bhooth Bangla,2026-04-16,126.2138,5.512,Horror
1408208,Exit 8,2025-08-28,18.587,6.868,Horror
1318621,Descendants: Wicked Wonderland,2026-07-16,6.5814,0.0,Fantasy
1397335,Hunting Jessica Brok,2025-08-22,0.9365,6.958,Action
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025-07-18,96.921,7.726,Animation
1464883,The President's Cake,2025-12-26,4.9607,7.353,Drama
1339210,Affection,2026-05-08,3.0268,6.2,Horror
1288445,Mutiny,2026-08-19,7.4393,0.0,Action
1582770,Dhurandhar: The Revenge,2026-03-18,60.4453,7.333,Action
1409853,Neglected,2026-05-08,7.0071,7.5,Action
1309083,Dolly,2026-03-06,6.1041,6.116,Horror
1365378,The American Dream,2026-02-18,4.2604,7.4,Comedy
1110034,Kraken,2026-02-06,36.8989,6.386,Horror
1433583,The Weight,2026-09-16,5.8941,0.0,Thriller
426063,Nosferatu,2024-12-25,12.8939,6.714,Horror
1575337,Cosmic Princess Kaguya!,2026-01-22,12.9309,8.4,Animation
1247165,Raja Shivaji,2026-05-01,15.7221,6.125,Action
1101412,Fall 2: Deadpoint,2026-08-13,6.0696,0.0,Thriller
1091862,Black Diamond,2025-01-10,2.0574,5.4,Thriller
1443374,All the Good Eyes,2026-04-25,9.3642,5.0,Drama
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025-07-18,96.921,7.726,Animation
1228246,Five Nights at Freddy's 2,2025-12-03,20.1785,6.639,Horror
1240889,Teenage Sex and Death at Camp Miasma,2026-08-06,3.485,0.0,Horror
1367642,Reminders of Him,2026-03-11,12.3676,7.728,Romance
533535,Deadpool & Wolverine,2024-07-24,30.5733,7.574,Action
1560681,Colors of Evil: Black,2026-06-10,20.4877,6.971,Thriller
1335666,Glenrothan,2026-04-17,3.9085,6.0,Drama
426063,Nosferatu,2024-12-25,12.8939,6.714,Horror
1140521,The Magic Faraway Tree,2026-03-26,5.855,6.2,Adventure
1165366,De Gaulle: Résistance,2026-06-03,9.2705,7.826,History
1400272,The Dashed Lines,2026-02-27,1.3639,6.0,Drama
858024,Hamnet,2025-11-26,15.9721,7.733,Drama
798645,The Running Man,2025-11-11,16.4462,6.779,Action
1426940,Above the Line,2025-12-06,3.0414,8.5,Action
1078605,Weapons,2025-08-04,16.3786,7.3,Horror
1401586,Sonic the Hedgehog 4,2027-03-11,8.0968,0.0,Comedy
1359685,El mal,2026-01-16,101.2807,6.0,Thriller
1193501,Whistle,2026-01-20,13.4801,6.327,Horror
912649,Venom: The Last Dance,2024-10-22,20.6092,6.672,Science Fiction
967941,Wicked: For Good,2025-11-19,12.0276,6.622,Fantasy
1236204,Birthrite,2025-08-08,1.4474,4.7,Thriller
1309725,The Richest Woman in the World,2025-10-29,1.2476,6.133,Comedy
1368166,The Housemaid,2025-12-18,51.0855,7.262,Mystery
1723013,Hibla 2,2026-06-30,3.4179,0.0,Drama
1165369,De Gaulle: Liberté,2026-06-26,8.0283,8.154,History
1174334,A Foggy Tale,2025-11-27,4.4823,7.54,Drama
1525703,We're So Dead,2025-11-21,0.9728,0.0,Comedy
1288059,I Want Your Sex,2026-07-29,5.3022,0.0,Drama
696393,Cold Storage,2026-01-22,9.3056,6.774,Horror
1184941,Blue Heron,2026-03-21,5.8405,7.1,Drama
1198984,We Bury the Dead,2026-01-01,10.4261,6.0,Horror
933260,The Substance,2024-09-07,27.7745,7.132,Horror
1062722,Frankenstein,2025-10-17,17.9069,7.634,Drama
1184918,The Wild Robot,2024-09-12,35.0592,8.315,Family
1671548,Dear You,2026-04-30,30.6346,9.186,Drama
1450527,Forbidden Fruits,2026-03-26,6.7895,6.2,Horror
1659389,ONE PIECE HEROINES,2026-07-05,3.0223,0.0,TV Movie
